group,system,display_label,curve_id,color_hex,marker,alpha,K_alpha_A2_ps_minus_alpha,alpha_fit_r2,fit_tau_min_ps,fit_tau_max_ps,record_type,time_ps,OPA_COM_x_A,OPA_COM_y_A,OPA_COM_z_A,OPA_displacement_from_t0_A,lag_ps,TAMSD_A2,TAMSD_powerlaw_fit_A2,in_alpha_fit_window
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.4,24.803843857575732,23.56706974983688,31.593001868384643,4.829295562001583,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.5,25.23800482425092,23.95115573526196,31.099943874550465,4.3092330534710745,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.6,25.211591293921288,23.537370241757717,31.15768671915956,4.422798269340228,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.7,24.797792416549875,23.545083662775472,31.13747729445913,4.384848841356545,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.8,24.655590628757203,23.446267342583106,31.421541082060354,4.685657092745764,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,7.9,24.62146897787964,23.45932878945626,31.16279954868197,4.431205646376376,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.0,24.51197054262407,23.48645673931372,31.38674683274922,4.651292187468572,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.1,24.60195075650158,23.429170529225672,30.98185465712775,4.26200663205174,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.2,24.827412829093944,23.2294851946558,31.34858796630014,4.659199855402801,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.3,24.77119982380702,22.91580510459296,31.69254545344295,5.074470593639555,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.4,24.80755602843432,22.664957294382116,31.33151092152759,4.81235813228801,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.5,24.521215838518,22.83290964955792,30.7847133661739,4.252639449195105,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.6,24.197628722826494,22.56726532987357,31.079994397947605,4.657907367490986,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.7,23.82145857295936,22.67661059391873,31.30541741541956,4.8883422208317295,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.8,23.779093912395588,22.52164616975005,30.74473045119653,4.452824937096975,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,8.9,23.870399872630948,22.12537942557288,30.724687953551328,4.594403737508215,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,9.0,24.039063302273263,22.417944974451,30.85811760405632,4.543626095608514,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,9.1,24.1412858915646,22.1763023957448,30.936989807645872,4.704922784890872,,,,False
group2,DMC,DMC,group2 | DMC,#9a1d80,8,1.030536142112352,1.3101107459087384,0.9951585885142914,0.1999999999999999,3.2999999999999994,displacement,9.2,24.08147671617976,21.99804026038675,31.473200206184902,5.265582035978024,,,,False
